,LHF,SHF
2019-07-29 00:00:00,4.702538711217999,4.616167460772875
2019-07-29 00:30:00,-0.6716307221116001,-0.6221909022161177
2019-07-29 01:00:00,2.2911260561854743,2.354007801975168
2019-07-29 01:30:00,1.4204295015183002,2.3605716319461347
2019-07-29 02:00:00,1.7597815575934732,3.410179948672591
2019-07-29 02:30:00,3.8506842902140073,5.742888897395213
2019-07-29 03:00:00,1.8037201485985639,-5.078244436724793
2019-07-29 03:30:00,2.6831142544720965,-4.800509935537179
2019-07-29 04:00:00,0.7236760333115086,-5.255026311138966
2019-07-29 04:30:00,1.4558026229025018,-7.443169570413034
2019-07-29 05:00:00,-4.937152598286349,-10.217755103067583
2019-07-29 05:30:00,-20.113764899802796,-15.87653160032161
2019-07-29 06:00:00,9.89371840796161,-14.70066286773677
2019-07-29 06:30:00,-5.273418185334602,-14.744544770310727
2019-07-29 07:00:00,-0.2462827129076528,-12.149424028912785
2019-07-29 07:30:00,-0.9041717762292788,-9.207463041432336
2019-07-29 08:00:00,0.07808887076456687,1.8597885547921449
2019-07-29 08:30:00,-2.210914135796517,0.5106257577358863
2019-07-29 09:00:00,-0.9968783872069522,-0.9614875533904832
2019-07-29 09:30:00,-1.750593131977528,0.770864032902621
2019-07-29 10:00:00,-4.178287847468872,0.06149434527472262
2019-07-29 10:30:00,-3.0206410774408523,0.648964929480436
2019-07-29 11:00:00,-2.606400064787735,4.597174303760947
2019-07-29 11:30:00,-3.8535113471561564,0.47918199194634165
2019-07-29 12:00:00,-5.154356741803321,0.2852009390739829
2019-07-29 12:30:00,-5.175842097828546,-0.5116416061522728
2019-07-29 13:00:00,-8.042974600899793,0.2741376673782645
2019-07-29 13:30:00,-6.150133383950016,2.505920518066113
2019-07-29 14:00:00,-6.203436636719065,3.3991632963346947
2019-07-29 14:30:00,-9.295987335092706,-1.3152472879039043
2019-07-29 15:00:00,-9.053909270797227,-3.3900747316931694
2019-07-29 15:30:00,-12.744547456231025,-5.4853854967278055
2019-07-29 16:00:00,-10.774824826913058,-4.032499078671435
2019-07-29 16:30:00,-7.997950629176752,0.8941934677622873
2019-07-29 17:00:00,-7.313121499799954,-1.0187921745464439
2019-07-29 17:30:00,15.866430129959435,-0.9741300960230548
2019-07-29 18:00:00,,0.5544990358767635
2019-07-29 18:30:00,,
2019-07-29 19:00:00,,
2019-07-29 19:30:00,,
2019-07-29 20:00:00,,
2019-07-29 20:30:00,,-0.018868212411541352
2019-07-29 21:00:00,-3.244498915791211,2.3521866177821473
2019-07-29 21:30:00,0.2685965528971917,3.695189458162762
2019-07-29 22:00:00,-0.6479097308314209,3.865068115390383
2019-07-29 22:30:00,-1.0678307381697332,3.9516284529205516
2019-07-29 23:00:00,0.011216919981184615,1.8110106372016515
